0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:44 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:44 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:44 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:49 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2278
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:49 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:49 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:49 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:49:49 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:00 +0530] "GET /FashionProjectFrontend/signout HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:00 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:00 +0530] "GET /FashionProjectFrontend/images/30.jpg HTTP/1.1" 200 292858
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/productdisplay HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 22841
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:07 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:12 +0530] "GET /FashionProjectFrontend/signout HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:12 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:50:12 +0530] "GET /FashionProjectFrontend/images/30.jpg HTTP/1.1" 200 292858
